Player,Avg_Sal,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
A.J. Brown,32,15.67,15.33,133.33,87.0,1343.67,15.6,8.33,60.0,56.97,68.0,5.53,85.53,65.63,10.2,1.33
Adam Thielen,8,14.67,14.67,102.0,73.67,781.67,10.93,5.0,43.0,55.33,36.0,5.0,54.4,72.67,8.0,0.67
Allen Lazard,11,13.5,12.5,80.0,48.5,659.0,13.7,6.0,37.0,56.65,49.5,3.55,48.35,60.85,8.35,0.0
Amari Cooper,20,15.33,14.0,115.0,64.67,985.67,14.9,6.0,45.33,49.5,53.33,4.17,63.53,55.73,8.33,0.67
Amon-Ra St. Brown,30,16.33,16.33,150.33,113.33,1313.0,11.57,9.33,72.0,64.7,61.67,6.93,80.53,75.6,8.73,0.67
Brandin Cooks,16,14.5,14.0,87.0,55.5,678.0,12.25,5.5,33.5,53.3,40.5,3.9,47.45,64.0,7.8,0.5
Brandon Aiyuk,30,16.5,16.5,109.5,76.5,1178.5,15.45,7.5,54.0,65.05,65.0,4.65,71.8,69.9,10.85,1.0
Calvin Ridley,23,17.0,15.5,128.0,70.0,1016.5,14.65,6.0,44.5,46.35,61.0,4.15,59.8,54.6,8.0,1.0
CeeDee Lamb,34,16.33,16.33,163.0,114.33,1434.0,12.5,9.0,67.0,56.2,65.33,6.97,87.47,69.87,8.77,1.33
Chase Claypool,1.135,15.0,11.0,79.0,46.0,451.0,9.8,1.0,24.0,46.8,31.0,3.1,30.1,58.2,5.7,1.0
Chris Godwin,22,13.0,12.33,111.33,79.0,874.33,11.2,3.33,46.33,61.07,48.67,6.3,70.23,72.53,8.13,1.0
Chris Moore,1.255,16.5,6.0,54.5,35.0,486.0,15.35,1.0,20.0,50.8,50.5,2.15,29.6,63.9,9.75,0.5
Christian Kirk,18,14.5,14.5,109.0,70.5,947.5,13.5,5.5,44.5,55.1,53.0,4.85,65.4,65.15,8.8,1.5
Cooper Kupp,26.7,11.0,10.67,97.67,67.0,753.0,11.3,5.67,34.33,52.9,68.67,6.27,70.27,68.53,7.73,1.0
Corey Davis,12.5,13.0,10.0,64.0,32.0,536.0,16.8,2.0,28.0,48.4,66.0,2.5,41.2,50.0,8.4,0.0
Courtland Sutton,15.2,16.0,14.0,111.33,68.0,894.0,13.13,6.67,44.0,51.5,48.0,4.27,55.73,61.43,8.07,1.33
Curtis Samuel,8,16.5,12.5,91.5,63.0,634.5,10.1,4.0,31.0,48.6,43.0,3.85,38.45,68.85,6.9,0.5
D.J. Moore,27.5,17.0,17.0,131.33,85.67,1072.67,12.73,7.0,50.33,49.97,54.67,5.03,63.07,64.67,8.13,0.67
D.K. Metcalf,33,16.0,15.0,122.67,74.0,1051.33,14.5,6.33,44.67,50.0,66.0,4.6,65.77,60.13,8.67,1.33
DJ Chark,3,13.0,10.5,59.0,32.5,513.5,15.85,4.0,23.0,47.9,49.0,2.5,40.3,55.35,8.85,1.0
Darius Slayton,12,16.33,12.33,73.67,45.0,689.0,15.27,2.67,29.67,52.6,59.33,2.73,42.13,61.0,9.33,1.0
Darnell Mooney,13,14.33,14.0,76.0,45.0,633.0,13.73,2.67,29.33,46.27,48.67,3.13,43.57,58.93,8.1,0.0
Davante Adams,22,16.0,16.0,165.33,96.0,1241.0,12.93,10.0,57.67,47.17,59.0,6.03,77.47,58.27,7.47,0.33
DeAndre Carter,1.2,17.0,7.0,65.0,46.0,538.0,11.7,3.0,29.0,53.8,35.0,2.7,31.6,70.8,8.3,3.0
DeAndre Hopkins,5,14.0,11.0,104.33,65.0,794.67,12.07,5.0,39.33,52.67,43.0,5.0,60.0,63.8,7.6,1.0
DeVonta Smith,25,15.33,15.33,112.33,81.33,1031.67,12.7,7.33,48.67,57.2,52.33,5.3,67.03,72.87,9.23,0.67
Deebo Samuel,23.85,14.33,14.0,88.0,55.67,731.33,13.1,4.0,29.0,48.27,62.33,3.9,50.93,63.33,8.33,2.0
Demarcus Robinson,4.75,17.0,11.0,69.5,39.5,481.5,12.9,4.5,25.0,46.8,38.5,2.3,28.3,56.2,7.0,1.0
Diontae Johnson,18.355,15.0,14.0,117.0,68.5,799.5,12.2,2.5,41.0,50.95,54.0,4.5,53.55,58.55,7.1,1.0
Donovan Peoples-Jones,1.3,17.0,14.0,96.0,61.0,839.0,13.8,3.0,33.0,50.0,42.0,3.6,49.4,63.5,8.7,1.0
Gabriel Davis,13,16.0,16.0,87.0,46.5,791.0,17.0,7.0,34.5,52.35,77.5,2.9,49.8,53.6,9.1,1.0
Greg Dortch,3.263,16.0,4.0,64.0,52.0,467.0,9.0,2.0,19.0,46.9,47.0,3.3,29.2,81.3,7.3,1.0
Isaiah McKenzie,1.377,15.0,8.0,65.0,42.0,423.0,10.1,4.0,27.0,58.5,30.0,2.8,28.2,64.6,6.5,0.0
Ja'Marr Chase,21.816,15.0,14.67,151.33,104.67,1323.33,12.53,11.0,65.33,58.03,68.67,7.03,87.9,68.83,8.67,1.0
Jakobi Meyers,11,15.0,14.67,110.33,75.0,879.33,11.73,6.0,45.33,55.6,41.33,5.0,58.77,68.07,8.0,0.67
Jalen Coker,0.795,11.0,4.0,46.0,32.0,478.0,14.9,2.0,23.0,58.7,83.0,2.9,43.5,69.6,10.4,0.0
Jauan Jennings,5.945,15.5,7.0,84.5,56.0,695.5,12.3,3.5,35.0,55.15,44.5,3.65,45.5,65.3,8.0,1.0
Jaylen Waddle,28.25,15.33,15.33,101.33,68.33,1038.0,15.0,4.67,48.33,55.87,69.0,4.47,67.27,67.73,10.13,0.33
Jerick McKinnon,1.317,17.0,0.0,71.0,56.0,512.0,9.1,9.0,28.0,54.9,56.0,3.3,30.1,78.9,7.2,1.0
Jerry Jeudy,17.5,16.0,13.67,110.67,70.33,986.33,14.07,4.0,42.0,50.6,67.67,4.4,61.5,63.73,8.97,0.33
Jordan Akins,1.95,15.0,3.0,54.0,37.0,495.0,13.4,5.0,23.0,53.7,46.0,2.5,33.0,68.5,9.2,1.0
Josh Palmer,12,13.67,8.0,77.67,49.67,644.67,13.67,2.0,29.67,52.13,58.0,3.63,48.37,63.2,8.57,0.67
Josh Reynolds,4.5,15.5,12.0,61.5,39.0,543.5,13.9,4.0,28.5,58.65,32.0,2.55,35.0,63.45,8.8,0.5
JuJu Smith-Schuster,1.21,16.0,14.0,101.0,78.0,933.0,12.0,3.0,47.0,67.3,53.0,4.9,58.3,77.2,9.2,3.0
Justin Jefferson,35,14.67,14.33,146.0,99.67,1472.0,14.93,7.67,64.33,58.57,71.0,6.8,101.33,68.17,10.17,0.67
K.J. Osborn,4,16.5,10.5,82.5,54.0,595.0,11.05,4.0,30.0,52.1,56.5,3.25,36.0,65.35,7.2,1.0
Kalif Raymond,5.25,17.0,5.0,54.0,41.0,552.5,13.55,0.5,22.0,61.1,48.5,2.45,32.5,76.45,10.35,2.0
Keenan Allen,20,12.67,12.67,120.0,81.33,913.0,11.17,6.0,46.33,54.0,44.33,6.53,73.47,68.03,7.6,1.33
Kendrick Bourne,6.5,16.0,2.0,48.0,35.0,434.0,12.4,1.0,22.0,54.2,41.0,2.2,27.1,72.9,9.0,2.0
Khalil Shakir,13.252,16.0,9.5,72.5,57.5,716.0,13.25,3.0,30.5,63.15,66.5,3.7,45.3,81.35,10.9,1.0
Mack Hollins,4.2,17.0,16.0,94.0,57.0,690.0,12.1,4.0,34.0,51.1,60.0,3.4,40.6,60.6,7.3,0.0
Marquez Valdes-Scantling,5.5,17.0,11.0,81.0,42.0,687.0,16.4,2.0,32.0,48.1,57.0,2.5,40.4,51.9,8.5,0.0
Marquise Brown,6.85,13.0,12.0,104.0,59.0,641.5,10.95,3.5,32.5,43.75,44.0,4.6,50.05,56.55,6.15,0.5
Marvin Jones,3,16.0,10.0,81.0,46.0,529.0,11.5,3.0,29.0,51.9,37.0,2.9,33.1,56.8,6.5,0.0
Michael Gallup,1.75,15.5,12.0,65.5,36.5,421.0,11.6,3.0,22.0,47.75,34.0,2.4,27.45,56.15,6.5,0.0
Michael Pittman Jr.,23.333,16.0,15.0,136.0,92.33,961.67,10.53,3.67,46.33,52.1,45.33,5.77,60.1,67.43,7.1,1.67
Michael Thomas,10,10.0,7.0,64.0,39.0,448.0,11.5,1.0,21.0,54.7,31.0,3.9,44.8,60.9,7.0,0.0
Mike Evans,20.5,15.33,15.33,124.33,76.67,1127.67,14.7,10.0,53.33,56.9,65.0,5.0,73.47,62.0,9.07,0.0
Mike Williams,6,13.0,13.0,93.0,63.0,895.0,14.2,4.0,39.0,59.1,55.0,4.8,68.8,67.7,9.6,0.0
Nick Westbrook-Ikhine,3.125,17.0,9.0,60.0,32.0,497.0,15.5,9.0,25.0,46.7,98.0,1.9,29.2,53.3,8.3,0.0
Nico Collins,24.25,12.33,9.67,91.33,61.67,928.0,14.67,5.67,40.67,53.5,66.67,4.9,72.8,66.07,9.8,0.33
Noah Brown,1.21,12.33,9.67,61.67,37.0,525.0,14.33,2.0,23.33,52.8,59.33,3.07,44.2,60.2,8.63,0.33
Noah Fant,10.5,16.0,14.0,56.67,43.33,466.67,11.0,1.67,21.67,57.43,44.67,2.73,29.57,76.27,8.37,0.0
Olamide Zaccheaus,1.275,17.0,9.5,62.5,42.5,519.5,12.25,3.0,25.5,52.05,47.0,2.5,30.6,67.95,8.3,2.0
Parris Campbell,1.292,17.0,16.0,91.0,63.0,623.0,9.9,3.0,32.0,54.9,49.0,3.7,36.6,69.2,6.8,1.0
Randall Cobb,3,13.0,3.0,50.0,34.0,417.0,12.3,1.0,19.0,56.0,40.0,2.6,32.1,68.0,8.3,1.0
Rashid Shaheed,5.2,13.5,7.0,54.5,37.0,603.5,16.5,3.5,22.5,58.65,63.0,2.7,44.3,71.85,12.0,1.0
Rashod Bateman,6.435,17.0,14.0,72.0,45.0,756.0,16.8,9.0,35.0,52.8,59.0,2.6,44.5,62.5,10.5,0.0
Richie James,1.232,17.0,4.0,70.0,57.0,569.0,10.0,4.0,29.0,61.4,33.0,3.4,33.5,81.4,8.1,3.0
Robert Woods,7.625,15.5,13.0,83.0,46.5,476.5,10.3,1.5,28.5,47.9,33.5,3.0,30.7,55.75,5.75,0.5
Russell Gage,1.17,13.0,4.0,70.0,51.0,426.0,8.4,5.0,31.0,62.9,23.0,3.9,32.8,72.9,6.1,1.0
Samaje Perine,1.8,17.0,1.0,56.0,50.0,455.0,9.1,0.0,23.0,67.9,29.0,2.9,26.8,89.3,8.1,3.0
Stefon Diggs,22.52,13.67,13.67,126.0,87.33,1036.0,11.63,7.33,54.33,56.97,52.33,6.33,73.63,70.13,8.17,1.0
Terrace Marshall Jr.,1.055,14.0,9.0,47.0,28.0,490.0,17.5,1.0,24.0,53.2,43.0,2.0,35.0,59.6,10.4,2.0
Terry McLaurin,22.788,17.0,17.0,123.0,79.33,1096.33,13.87,7.33,53.0,54.1,62.0,4.63,64.5,64.7,8.97,0.67
Tutu Atwell,10,16.5,9.5,64.5,40.5,522.5,12.9,1.5,27.5,53.75,47.0,2.45,31.65,62.95,8.15,0.0
Tyler Boyd,2.4,16.5,13.5,90.0,62.5,714.5,11.55,3.5,35.0,54.55,62.0,3.75,43.4,69.55,8.05,0.0
Tyler Lockett,14.83,16.67,15.67,104.33,70.67,842.33,11.93,5.33,44.33,58.57,38.0,4.27,50.83,67.6,8.07,0.67
Tyreek Hill,30,16.67,16.67,154.67,106.33,1489.33,13.77,8.67,71.33,55.47,74.0,6.4,89.8,68.5,9.47,0.67